		Traditional Software					Video Games			
#	AntiPattern (from PMs)	SW AntiPattern 	Source	AP Category	AntiPattern Problem (SW)	Refactored Solution (SW)	# PMs	Game Study Case 	Postmortem Problem	Postmortem Solution
1	internal arguments/disagreements among the team	Corncob	Brown et al.	Management	Difficult people frequently obstruct and divert the software development	By eliminating management support at the aforementioned levels, the Corncob loses support. Facilitate the group to discuss and frame the key objections, then try to gain consensus to overrule the objector	1	Whacked	"We could have handed more autonomous control to the production staff but that would often go against Phils artistic vision of the game"	Hire more people to share the workload and decisions: "We attempted to alleviate this problem by hiring two new conceptual artists to help out Phil. Since two new hires could not be expected to fill the void left by two amazing conceptual artists, the bottlenecks continued until the end of the level production cycle."
1	internal arguments/disagreements among the team	Design By Committee	Brown et al.	Architecture	Architects and developers have conflicting interpretations of the design	Reform meeting process, make it more concise and with clear roles	2	Cultist Simulator	"This caused some tension between design and production, most of which resulted in a better outcome than either could have achieved on their own, but some of which caused some grumpiness between us"	Share the workload and decisions among more people: "In the future, we’ll definitely hire additional tech resource pre- and post-launch so Alexis ‘only’ has to worry about design, writing and the game’s overall success. We may also invest in other areas. The moral here is: games are heavy, so spread the load where you can."
1	internal arguments/disagreements among the team	Divergent Goals	Laplante and Neill	Environmental	Hidden and personal agendas divergent to the mission of an organization starve resources (...)	Dealing with the first problem of comprehension and communication involves explaining the impact of day-to-day decisions on larger objectives	4	TimeShift	"The game as it was in September 2006 was a mishmash of way too many creative visions"	No solution: "Few games have gone through a development cycle as strange and convoluted as TimeShift's. After four years of development, three extensions, two publishers, three re-recordings of voice acting, three iterations of the story (...) We were constrained by the fact that we could not really take the game through a proper preproduction and planning phase, and could not change a lot of levels to accommodate to the final creative vision."
1	internal arguments/disagreements among the team	The Feud	Brown et al.	Management	Personality conflicts between managers, (...) software developers suffer from a lack of productive communications	Throw an integration party (e.g. pizza); (...) a two−day off−site intervention can achieve significant results	5	Renagade Ops	"This became a problem for Renegade Ops, as Sega, Avalanche management, and the development team all had different views on what triple-A stood for"	Review the process, talk to the team: "(...) the next time we feel like a project is stuck playing catch-up with itself, without any signs of pit stops for reflections and perspective -- then it's time to pull the emergency brake and take a look at what's really going on. Perhaps there is a problem with the processes, or maybe it is time to get the axe out for some serious re-scoping."
2	lack of technical knowledge and planning	Architecture By Implication	Brown et al.	Architecture	Ignorance of new technologies	Create formal architectures specification with multiple views	7	Star Trek: Voyager Elite Force	"Not only had no one ever used this system before, none of the programmers behind it had ever written a scripting system before"	No solution / taking proper time to create and document the system and make it stable: "They did pick it up quickly, but not without a lot of effort and time involved. (...) Ideally, those systems would have been finalized before the designers had to start scripting."
2	lack of technical knowledge and planning	Project Mismanagement	Brown et al.	Management	Inadequate architecture definition	Prototyping, create and document a risk management analysis, define architectural dependencies	10	Mini Metro	"We did a lot of things that we’d have never gotten away with if a producer was on the team"	Taking planning more seriously: "Looking back on this, it’s probably fair to say this was caused in part by Mini Metro being financially sustainable (...) so there wasn’t that usual financial pressure on us to ship. Coupled with our perfectionist tendencies, and no-one taking the producer role seriously, we were never going to manage that freedom well."
3	game/level design was neglected	Cover your Assets	Brown et al.	Architecture	Planners avoid doing key design decisions	Create an architecture blueprint	13	Soldier of Fortune	"The single most damaging problem during SoF's early development was that the original game lacked a truly focused design. We knew what the fundamentals of the game would be, but we did not have the specifics that we needed to create a solid, cohesive product."	"For the projects that we currently have lined up we are designing the entire game from start to finish before we begin physically developing it. The SoF team learned the hard way that a day of preplanning saves a week of rework."
4	execution time for the tasks was underestimated	Project Mismanagement	Brown et al.	Management	Key activities are overlooked or minimized	Prototyping, create and document a risk management analysis, define architectural dependencies	37	Rainbow Six	"Because we didn’t have a firm design, it was impossible to do accurate time estimates"	No solution / creating a solid design: "We only realized that we were in trouble when it became glaringly obvious. (...) Our current focus is on getting solid designs done up front and solid testing done on the back end — and on making great games, of course."
